"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,"Petroleum and coal product manufacturing  [324]","2007","6,688,954","F"
,,"2008","7,792,982","F"
,,"2009","5,895,202","4"
,,"2010","7,632,268","F"
,,"2011","9,106,850","F"
,,"2012","10,164,283","F"
,,"2013","9,475,287","F"
,,"2014","7,858,576","F"
,,"2015","6,406,474","F"
,,"2016","5,423,794","F"
,,"2017","7,130,903","F"
,,"2018","6,735,731","3"
,,"2019","6,828,103","3"
,,"2020","5,153,735","3"
,,"2021","8,201,679","3"
,,"2022","11,846,525","F"
,,"2023","10,306,338","F"
,,"2024","10,432,338","F"
,"Chemical manufacturing  [325]","2007","10,093","13"
,,"2008","10,874","10"
,,"2009","13,197","9"
,,"2010","10,750","10"
,,"2011","43,295","6"
,,"2012","44,316","6"
,,"2013","70,019","8"
,,"2014","13,486","6"
,,"2015","18,580","6"
,,"2016","21,899","6"
,,"2017","19,645","7"
,,"2018","18,298","6"
,,"2019","18,693","6"
,,"2020","20,238","8"
,,"2021","23,456","9"
,,"2022","37,702","11"
,,"2023","36,172","15"
,,"2024","39,338","14"
,"Plastics and rubber products manufacturing  [326]","2007","37,408","25"
,,"2008","35,441","24"
,,"2009","36,072","21"
,,"2010","38,204","21"
,,"2011","35,369","21"
,,"2012","35,814","19"
,,"2013","38,259","21"
,,"2014","44,778","21"
,,"2015","53,520","22"
,,"2016","64,063","24"
,,"2017","60,892","23"
,,"2018","66,623","24"
,,"2019","64,822","19"
,,"2020","63,108","19"
,,"2021","79,963","18"
,,"2022","71,260","20"
,,"2023","57,933","18"
,,"2024","55,099","16"
,"Non-metallic mineral product manufacturing  [327]","2007","42,645","9"
,,"2008","27,092","8"
,,"2009","39,078","10"
,,"2010","22,684","8"
,,"2011","23,524","6"
,,"2012","19,960","6"
,,"2013","22,811","5"
,,"2014","24,965","6"
,,"2015","27,751","6"
,,"2016","37,878","8"
,,"2017","20,176","6"
,,"2018","30,159","8"
,,"2019","28,709","6"
,,"2020","47,711","8"
,,"2021","34,140","6"
,,"2022","55,065","8"
,,"2023","48,825","10"
,,"2024","39,647","9"
,"Primary metal manufacturing  [331]","2007","120,385","F"
,,"2008","146,190","3"
,,"2009","134,183","F"
,,"2010","366,819","F"
,,"2011","170,622","F"
,,"2012","143,700","F"
,,"2013","242,228","F"
,,"2014","181,033","F"
,,"2015","159,015","F"
,,"2016","158,112","F"
,,"2017","161,331","F"
,,"2018","197,235","F"
,,"2019","173,400","F"
,,"2020","..",".."
,,"2021","..",".."
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Fabricated metal product manufacturing  [332]","2007","92,739","31"
,,"2008","105,214","29"
,,"2009","72,299","31"
,,"2010","45,820","31"
,,"2011","28,457","24"
,,"2012","42,706","26"
,,"2013","56,492","28"
,,"2014","61,408","29"
,,"2015","57,278","24"
,,"2016","57,757","24"
,,"2017","63,665","31"
,,"2018","59,690","28"
,,"2019","118,654","29"
,,"2020","87,225","35"
,,"2021","67,401","28"
,,"2022","92,479","31"
,,"2023","100,593","29"
,,"2024","73,510","27"
,"Machinery manufacturing  [333]","2007","51,608","26"
,,"2008","45,437","28"
,,"2009","30,778","24"
,,"2010","29,137","22"
,,"2011","36,365","21"
,,"2012","50,416","22"
,,"2013","49,551","25"
,,"2014","60,144","22"
,,"2015","79,100","20"
,,"2016","87,812","20"
,,"2017","89,675","21"
,,"2018","109,453","25"
,,"2019","83,669","27"
,,"2020","101,156","24"
,,"2021","125,525","25"
,,"2022","186,152","29"
,,"2023","215,123","33"
,,"2024","206,946","36"
,"Computer and electronic product manufacturing  [334]","2007","7,406","6"
,,"2008","9,537","6"
,,"2009","9,070","5"
,,"2010","10,526","6"
,,"2011","12,974","7"
,,"2012","10,918","8"
,,"2013","11,202","6"
,,"2014","16,118","5"
,,"2015","34,186","6"
,,"2016","37,600","6"
,,"2017","39,421","6"
,,"2018","39,077","6"
,,"2019","40,916","7"
,,"2020","43,454","7"
,,"2021","45,191","8"
,,"2022","56,666","9"
,,"2023","60,467","9"
,,"2024","77,173","9"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","6,135","4"
,,"2008","2,912","3"
,,"2009","2,440","4"
,,"2010","2,703","3"
,,"2011","4,287","3"
,,"2012","8,687","5"
,,"2013","9,382","5"
,,"2014","8,301","4"
,,"2015","118","F"
,,"2016","20","F"
,,"2017","15","F"
,,"2018","15,000","5"
,,"2019","6,959","F"
,,"2020","16,227","4"
,,"2021","7,298","3"
,,"2022","7,996","F"
,,"2023","11,123","F"
,,"2024","9,897","F"
,"Transportation equipment manufacturing  [336]","2007","8,966","12"
,,"2008","6,676","11"
,,"2009","2,408","9"
,,"2010","41,303","8"
,,"2011","50,281","10"
,,"2012","53,836","6"
,,"2013","27,958","12"
,,"2014","21,916","10"
,,"2015","24,627","9"
,,"2016","36,745","8"
,,"2017","48,661","8"
,,"2018","45,771","10"
,,"2019","44,984","10"
,,"2020","42,601","11"
,,"2021","42,718","9"
,,"2022","79,297","7"
,,"2023","79,015","8"
,,"2024","81,541","11"
,"Furniture and related product manufacturing  [337]","2007","18,821","21"
,,"2008","11,697","14"
,,"2009","8,880","13"
,,"2010","4,711","12"
,,"2011","4,473","10"
,,"2012","3,456","8"
,,"2013","4,887","10"
,,"2014","3,602","10"
,,"2015","4,122","12"
,,"2016","6,108","13"
,,"2017","5,300","13"
,,"2018","7,032","12"
,,"2019","5,194","12"
,,"2020","5,271","10"
,,"2021","5,701","14"
,,"2022","7,367","10"
,,"2023","6,933","8"
,,"2024","6,483","10"
,"Miscellaneous manufacturing  [339]","2007","71,225","25"
,,"2008","77,929","26"
,,"2009","101,540","28"
,,"2010","165,076","28"
,,"2011","98,483","27"
,,"2012","145,708","22"
,,"2013","133,333","22"
,,"2014","100,120","19"
,,"2015","38,723","19"
,,"2016","57,260","20"
,,"2017","55,465","17"
,,"2018","38,667","25"
,,"2019","37,486","23"
,,"2020","26,015","23"
,,"2021","32,545","25"
,,"2022","40,821","18"
,,"2023","36,964","23"
,,"2024","34,363","19"
,"Wholesale trade  [41]","2007","175,611","165"
,,"2008","179,146","175"
,,"2009","169,481","160"
,,"2010","226,513","154"
,,"2011","784,310","172"
,,"2012","301,218","156"
,,"2013","424,780","154"
,,"2014","383,051","158"
,,"2015","360,263","149"
,,"2016","420,657","144"
,,"2017","584,581","145"
,,"2018","608,171","159"
,,"2019","832,904","143"
,,"2020","639,391","143"
,,"2021","799,078","158"
,,"2022","869,836","156"
,,"2023","767,437","163"
,,"2024","813,417","150"
,"Retail trade  [44-45]","2007","26,847","60"
,,"2008","16,200","52"
,,"2009","9,022","42"
,,"2010","15,983","39"
,,"2011","47,447","45"
,,"2012","47,867","50"
,,"2013","9,943","42"
,,"2014","10,711","42"
,,"2015","22,878","45"
,,"2016","36,880","53"
,,"2017","26,691","71"
,,"2018","26,664","56"
,,"2019","31,719","60"
,,"2020","92,150","63"
,,"2021","19,999","65"
,,"2022","11,578","58"
,,"2023","16,330","53"
,,"2024","33,727","49"
,"Transportation and warehousing  [48-49]","2007","94,769","35"
,,"2008","85,934","38"
,,"2009","61,146","33"
,,"2010","155,096","25"
,,"2011","23,668","22"
,,"2012","89,122","29"
,,"2013","35,724","23"
,,"2014","48,155","29"
,,"2015","90,340","30"
,,"2016","66,897","26"
,,"2017","68,285","27"
,,"2018","265,464","29"
,,"2019","91,804","33"
,,"2020","122,852","33"
,,"2021","102,214","42"
,,"2022","7,220","30"
,,"2023","13,676","45"
,,"2024","25,381","47"
,"Information and cultural industries  [51]","2007","1,129","7"
,,"2008","694","8"
,,"2009","370","F"
,,"2010","565","5"
,,"2011","449","7"
,,"2012","329","6"
,,"2013","7","4"
,,"2014","1,145","5"
,,"2015","110,379","9"
,,"2016","4,749","6"
,,"2017","1,372","5"
,,"2018","2,628","4"
,,"2019","291","5"
,,"2020","113","F"
,,"2021","745","3"
,,"2022","1,163","F"
,,"2023","48","F"
,,"2024","32","F"
,"Finance and insurance  [52]","2007","20,998","8"
,,"2008","17,581","5"
,,"2009","194","4"
,,"2010","1,536","4"
,,"2011","1,512","F"
,,"2012","17,006","5"
,,"2013","78,954","5"
,,"2014","8,600","5"
,,"2015","5,917","7"
,,"2016","7,594","6"
,,"2017","9,321","5"
,,"2018","1,047","3"
,,"2019","1,614","3"
,,"2020","1,114","4"
,,"2021","1,657","4"
,,"2022","1,602","8"
,,"2023","3,245","10"
,,"2024","1,671","7"
,"Real estate and rental and leasing  [53]","2007","1,998","11"
,,"2008","580","11"
,,"2009","563","10"
,,"2010","853","10"
,,"2011","2,620","10"
,,"2012","4,298","13"
,,"2013","4,088","10"
,,"2014","4,531","9"
,,"2015","4,958","11"
,,"2016","4,164","11"
,,"2017","4,791","12"
,,"2018","10,953","11"
,,"2019","7,355","11"
,,"2020","1,930","11"
,,"2021","30,615","13"
,,"2022","2,755","9"
,,"2023","7,149","20"
,,"2024","5,386","21"
,"Professional, scientific and technical services  [54]","2007","17,286","34"
,,"2008","24,191","35"
,,"2009","14,561","26"
,,"2010","5,479","28"
,,"2011","6,458","16"
,,"2012","7,129","26"
,,"2013","9,464","24"
,,"2014","8,018","17"
,,"2015","11,228","17"
,,"2016","10,585","21"
,,"2017","17,412","24"
,,"2018","14,447","27"
,,"2019","24,703","26"
,,"2020","21,059","29"
,,"2021","25,269","36"
,,"2022","22,708","39"
,,"2023","20,756","38"
,,"2024","17,759","35"
,"Management of companies and enterprises  [55]","2007","246,693","5"
,,"2008","148,663","5"
,,"2009","54,902","6"
,,"2010","89,698","8"
,,"2011","118,492","8"
,,"2012","209,880","11"
,,"2013","348,956","16"
,,"2014","338,276","16"
,,"2015","329,486","17"
,,"2016","183,813","10"
,,"2017","173,267","13"
,,"2018","162,963","11"
,,"2019","97,569","7"
,,"2020","68,308","7"
,,"2021","112,347","7"
,,"2022","223","F"
,,"2023","45","F"
,,"2024","55","F"
,"Administrative and support, waste management and remediation services  [56]","2007","24,126","14"
,,"2008","25,705","17"
,,"2009","27,833","18"
,,"2010","23,083","16"
,,"2011","41,039","16"
,,"2012","41,709","20"
,,"2013","94,196","17"
,,"2014","37,527","16"
,,"2015","6,294","18"
,,"2016","2,880","15"
,,"2017","1,699","17"
,,"2018","1,360","14"
,,"2019","2,315","10"
,,"2020","1,794","10"
,,"2021","3,068","10"
,,"2022","4,212","15"
,,"2023","4,824","9"
,,"2024","7,094","9"
,"Educational services  [61]","2007","38","3"
,,"2008","111","4"
,,"2009","40","3"
,,"2010","34","3"
,,"2011","36","3"
,,"2012","39","F"
,,"2013","45","F"
,,"2014","3","F"
,,"2015","127","3"
,,"2016","8","F"
,,"2017","51","F"
,,"2018","81","4"
,,"2019","213","F"
,,"2020","58","5"
,,"2021","16","F"
,,"2022","7","F"
,,"2023","4","F"
,,"2024","93","F"
,"Health care and social assistance  [62]","2007","24","F"
,,"2008","22","4"
,,"2009","35","5"
,,"2010","11","3"
,,"2011","11","3"
,,"2012","10","F"
,,"2013","10","F"
,,"2014","5","F"
,,"2015","4","F"
,,"2016","36","3"
,,"2017","35","3"
,,"2018","239","4"
,,"2019","251","3"
,,"2020","944","6"
,,"2021","441","4"
,,"2022","795","6"
,,"2023","1,753","16"
,,"2024","1,583","17"
,"Arts, entertainment and recreation  [71]","2007","63","4"
,,"2008","269","5"
,,"2009","12","3"
,,"2010","105","6"
,,"2011","601","F"
,,"2012","1,250","7"
,,"2013","583","5"
,,"2014","410","5"
,,"2015","933","6"
,,"2016","336","4"
,,"2017","598","6"
,,"2018","416","5"
,,"2019","423","5"
,,"2020","557","6"
,,"2021","13","3"
,,"2022","27","6"
,,"2023","244","7"
,,"2024","266","8"
,"Accommodation and food services  [72]","2007","6,241","3"
,,"2008","91","5"
,,"2009","89","6"
,,"2010","32","5"
,,"2011","32","F"
,,"2012","4","F"
,,"2013","..",".."
,,"2014","..",".."
,,"2015","28","5"
,,"2016","10","F"
,,"2017","..",".."
,,"2018","27","F"
,,"2019","52","4"
,,"2020","..",".."
,,"2021","968","F"
,,"2022","202","F"
,,"2023","1,165","5"
,,"2024","162","F"
,"Other services (except public administration)  [81]","2007","18,928","21"
,,"2008","4,623","25"
,,"2009","15,441","13"
,,"2010","2,905","13"
,,"2011","2,278","15"
,,"2012","6,698","12"
,,"2013","6,386","10"
,,"2014","7,155","10"
,,"2015","6,878","20"
,,"2016","24,196","14"
,,"2017","5,941","19"
,,"2018","6,294","17"
,,"2019","10,863","19"
,,"2020","8,734","14"
,,"2021","11,345","16"
,,"2022","4,918","16"
,,"2023","5,901","24"
,,"2024","1,153","19"
,"Public administration  [91]","2007","5","F"
,,"2008","5","F"
,,"2009","21","F"
,,"2010","15","F"
,,"2011","100","3"
,,"2012","282","4"
,,"2013","300","F"
,,"2014","308","F"
,,"2015","256","F"
,,"2016","631","4"
,,"2017","48","F"
,,"2018","17","F"
,,"2019","71","F"
,,"2020","20","F"
,,"2021","86","3"
,,"2022","68","F"
,,"2023","5","F"
,,"2024","94","F"
"Quebec","All industries","2007","67,293,345","11,479"
,,"2008","69,532,255","10,671"
,,"2009","58,638,054","10,001"
,,"2010","58,963,092","9,581"
,,"2011","62,269,891","9,820"
,,"2012","62,536,700","9,879"
,,"2013","65,400,668","9,581"
,,"2014","75,199,064","9,736"
,,"2015","80,449,887","10,231"
,,"2016","77,231,946","10,508"
,,"2017","78,559,890","10,422"
,,"2018","86,123,538","10,827"
,,"2019","88,615,688","10,984"
,,"2020","82,632,402","10,344"
,,"2021","97,178,014","11,137"
,,"2022","107,479,669","11,289"
,,"2023","114,165,836","11,221"
,,"2024","122,465,364","11,008"
,"Agriculture, forestry, fishing and hunting  [11]","2007","435,062","348"
,,"2008","478,580","385"
,,"2009","406,313","362"
,,"2010","360,457","372"
,,"2011","421,872","379"
,,"2012","447,701","454"
,,"2013","474,538","438"
,,"2014","381,743","399"
,,"2015","528,912","487"
,,"2016","611,983","571"
,,"2017","421,131","518"
,,"2018","579,821","528"
,,"2019","487,496","486"
,,"2020","570,128","477"
,,"2021","669,792","503"
,,"2022","745,610","529"
,,"2023","644,345","559"
,,"2024","673,708","527"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","1,192,692","51"
,,"2008","1,585,432","48"
,,"2009","2,058,872","47"
,,"2010","1,738,950","40"
,,"2011","2,191,408","42"
,,"2012","2,229,425","44"
,,"2013","2,172,102","42"
,,"2014","2,868,437","47"
,,"2015","3,353,365","39"
,,"2016","3,172,559","38"
,,"2017","3,488,534","42"
,,"2018","3,528,523","43"
,,"2019","3,469,686","40"
,,"2020","3,291,472","37"
,,"2021","3,638,595","36"
,,"2022","4,398,329","40"
,,"2023","6,820,743","45"
,,"2024","6,987,627","43"
,"Oil and gas extraction  [211]","2007","2,670","3"
,,"2008","3,368","F"
,,"2009","2,405","3"
,,"2010","11,159","F"
,,"2011","4","F"
,,"2012","..",".."
,,"2013","..",".."
,,"2014","135","F"
,,"2015","..",".."
,,"2016","722","F"
,,"2017","442","F"
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","64","F"
,,"2022","..",".."
,,"2023","..",".."
,,"2024","..",".."
,"Mining and quarrying (except oil and gas)  [212]","2007","1,186,584","34"
,,"2008","1,128,381","32"
,,"2009","1,812,957","33"
,,"2010","1,722,513","31"
,,"2011","2,174,568","28"
,,"2012","2,209,846","31"
,,"2013","2,111,963","29"
,,"2014","2,861,568","29"
,,"2015","3,332,895","27"
,,"2016","3,162,465","25"
,,"2017","3,479,001","28"
,,"2018","3,401,511","29"
,,"2019","3,297,474","25"
,,"2020","3,284,924","27"
,,"2021","3,622,284","26"
,,"2022","4,345,696","30"
,,"2023","6,780,645","30"
,,"2024","6,976,624","28"
,"Support activities for mining, and oil and gas extraction  [213]","2007","3,438","14"
,,"2008","453,683","14"
,,"2009","243,510","11"
,,"2010","5,279","7"
,,"2011","16,836","13"
,,"2012","19,579","13"
,,"2013","60,139","13"
,,"2014","6,734","17"
,,"2015","20,470","12"
,,"2016","9,371","12"
,,"2017","9,091","13"
,,"2018","127,012","14"
,,"2019","172,212","15"
,,"2020","6,548","10"
,,"2021","16,247","9"
,,"2022","52,634","10"
,,"2023","40,097","15"
,,"2024","11,004","15"
,"Utilities  [22]","2007","1,253,408","17"
,,"2008","1,540,773","15"
,,"2009","1,132,596","11"
,,"2010","923,385","13"
,,"2011","995,722","12"
,,"2012","1,092,261","10"
,,"2013","1,275,463","16"
,,"2014","1,496,089","15"
,,"2015","1,716,083","16"
,,"2016","1,733,937","16"
,,"2017","1,478,534","15"
,,"2018","1,554,552","13"
,,"2019","1,531,921","11"
,,"2020","894,196","9"
,,"2021","996,451","7"
,,"2022","1,340,006","10"
,,"2023","1,298,948","13"
,,"2024","556,789","14"
,"Construction  [23]","2007","363,648","264"
,,"2008","334,493","229"
,,"2009","183,255","204"
,,"2010","153,712","190"
,,"2011","161,716","194"
,,"2012","117,779","203"
,,"2013","131,385","175"
,,"2014","162,894","213"
,,"2015","232,647","225"
,,"2016","265,353","238"
,,"2017","313,824","228"
,,"2018","296,255","238"
,,"2019","337,629","235"
,,"2020","345,893","205"
,,"2021","349,852","279"
,,"2022","248,009","287"
,,"2023","294,693","296"
,,"2024","307,373","306"
,"Manufacturing  [31-33]","2007","54,056,224","4,975"
,,"2008","55,151,298","4,731"
,,"2009","47,125,021","4,456"
,,"2010","46,899,789","4,207"
,,"2011","49,900,248","4,257"
,,"2012","51,289,400","4,307"
,,"2013","52,462,062","4,176"
,,"2014","58,061,056","4,234"
,,"2015","62,973,473","4,314"
,,"2016","62,481,369","4,453"
,,"2017","63,568,450","4,550"
,,"2018","70,048,660","4,580"
,,"2019","72,706,265","4,611"
,,"2020","66,190,426","4,419"
,,"2021","77,907,797","4,479"
,,"2022","90,347,858","4,586"
,,"2023","91,787,461","4,649"
,,"2024","98,264,292","4,647"
,"Food manufacturing  [311]","2007","2,220,574","305"
,,"2008","2,586,654","276"
,,"2009","2,558,673","281"
,,"2010","2,418,528","274"
,,"2011","2,860,971","294"
,,"2012","2,708,534","292"
,,"2013","3,054,182","295"
,,"2014","3,652,359","295"
,,"2015","4,066,761","309"
,,"2016","4,783,271","319"
,,"2017","5,087,742","330"
,,"2018","4,915,680","332"
,,"2019","5,075,377","317"
,,"2020","5,218,316","328"
,,"2021","5,420,708","335"
,,"2022","5,942,758","346"
,,"2023","5,810,835","367"
,,"2024","7,475,068","368"
,"Beverage and tobacco product manufacturing  [312]","2007","112,308","23"
,,"2008","206,897","23"
,,"2009","103,020","24"
,,"2010","85,059","24"
,,"2011","122,907","27"
,,"2012","112,105","25"
,,"2013","181,154","30"
,,"2014","237,177","34"
,,"2015","215,219","37"
,,"2016","218,719","36"
,,"2017","239,171","40"
,,"2018","274,713","42"
,,"2019","320,265","58"
,,"2020","344,868","51"
,,"2021","339,972","51"
,,"2022","382,006","57"
,,"2023","376,474","59"
,,"2024","387,930","58"
,"Textile mills  [313]","2007","450,716","112"
,,"2008","396,623","101"
,,"2009","528,192","91"
,,"2010","311,709","74"
,,"2011","298,385","67"
,,"2012","310,456","65"
,,"2013","314,231","62"
,,"2014","341,661","56"
,,"2015","392,367","51"
,,"2016","399,713","54"
,,"2017","346,633","54"
,,"2018","351,982","50"
,,"2019","365,065","52"
,,"2020","333,939","45"
,,"2021","334,034","47"
,,"2022","420,715","45"
,,"2023","426,543","48"
,,"2024","398,843","45"
,"Textile product mills  [314]","2007","96,706","69"
,,"2008","91,674","64"
,,"2009","57,420","56"
,,"2010","59,832","55"
,,"2011","68,503","61"
,,"2012","93,755","62"
,,"2013","96,991","57"
,,"2014","113,963","58"
,,"2015","125,473","50"
,,"2016","131,666","56"
,,"2017","120,617","60"
,,"2018","98,328","52"
,,"2019","90,939","56"
,,"2020","80,937","53"
,,"2021","65,060","50"
,,"2022","102,210","51"
,,"2023","79,815","47"
,,"2024","92,951","51"
,"Apparel manufacturing  [315]","2007","554,577","481"
,,"2008","402,148","383"
,,"2009","301,982","338"
,,"2010","301,153","276"
,,"2011","279,523","273"
,,"2012","298,665","284"
,,"2013","321,146","308"
,,"2014","357,711","314"
,,"2015","394,016","328"
,,"2016","403,623","340"
,,"2017","389,390","313"
,,"2018","404,985","325"
,,"2019","431,911","296"
,,"2020","237,218","245"
,,"2021","312,930","236"
,,"2022","375,791","249"
,,"2023","312,811","229"
,,"2024","332,701","210"
,"Leather and allied product manufacturing  [316]","2007","38,965","47"
,,"2008","39,852","42"
,,"2009","32,852","34"
,,"2010","36,130","36"
,,"2011","39,976","34"
,,"2012","38,673","42"
,,"2013","37,768","34"
,,"2014","47,049","32"
,,"2015","58,984","29"
,,"2016","39,407","27"
,,"2017","47,054","32"
,,"2018","28,428","29"
,,"2019","28,337","23"
,,"2020","19,491","26"
,,"2021","22,123","28"
,,"2022","52,566","26"
,,"2023","48,477","29"
,,"2024","50,969","24"
,"Wood product manufacturing  [321]","2007","2,217,224","332"
,,"2008","1,928,831","310"
,,"2009","1,335,045","282"
,,"2010","1,216,354","273"
,,"2011","2,867,017","261"
,,"2012","1,310,151","258"
,,"2013","1,784,743","237"
,,"2014","1,748,165","243"
,,"2015","1,936,113","239"
,,"2016","2,169,930","264"
,,"2017","2,547,395","264"
,,"2018","2,507,823","273"
,,"2019","2,588,573","267"
,,"2020","2,974,364","255"
,,"2021","5,396,040","251"
,,"2022","5,095,099","258"
,,"2023","3,498,773","257"
,,"2024","3,308,600","276"
,"Paper manufacturing  [322]","2007","6,684,117","146"
,,"2008","7,036,410","142"
,,"2009","6,282,834","138"
,,"2010","5,970,915","124"
,,"2011","4,636,620","132"
,,"2012","5,427,484","129"
,,"2013","5,834,997","124"
,,"2014","6,558,278","125"
,,"2015","6,548,721","121"
,,"2016","6,558,986","125"
,,"2017","6,448,009","123"
,,"2018","7,262,769","120"
,,"2019","6,789,389","118"
,,"2020","6,073,053","117"
,,"2021","6,169,649","117"
,,"2022","7,627,992","122"
,,"2023","7,365,210","124"
,,"2024","7,192,695","118"
,"Printing and related support activities  [323]","2007","519,224","224"
,,"2008","499,799","215"
,,"2009","398,722","207"
,,"2010","251,853","184"
,,"2011","267,204","181"
